,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Torben Jorgensen,28,6592,24,0.001,0.111,,,0.9858
John P Kemp,46,1910,24,0.0,0.084,,,0.9284
Patrik K E Magnusson,39,6171,24,0.001,0.13,,,0.9843
Laura J Scott,23,9763,23,0.0,0.083,,,0.9931
Sudha Seshadri,37,3348,23,0.001,0.116,,,0.9634
John M Starr,46,2291,23,0.001,0.131,,,0.9429
Jeffrey R Gulcher,23,5951,23,0.0,0.035,,,0.9836
Christian Dina,25,5690,23,0.001,0.081,,,0.9822
Sarah Edkins,27,4668,23,0.001,0.095,,,0.9765
Gail Davies,44,2056,23,0.001,0.122,,,0.9343
Anjali K Henders,34,2243,23,0.0,0.07,,,0.9409
Stephen S Rich,55,3231,23,0.003,0.12,,,0.962
H Erich Wichmann,25,3573,23,0.001,0.077,,,0.9665
Andrew B Singleton,35,4090,23,0.002,0.088,,,0.972
Guillaume Lettre,26,7561,23,0.0,0.102,,,0.989
Frank Geller,35,3807,23,0.001,0.099,,,0.9695
Beate St Pourcain,42,1833,23,0.0,0.101,,,0.9254
Mark Seielstad,32,5147,23,0.002,0.094,,,0.9797
Richard B Hayes,29,6160,23,0.001,0.069,,,0.9842
Marcella Rietschel,36,2931,23,0.001,0.072,,,0.9572
Ida Surakka,31,6460,23,0.0,0.101,,,0.9853
David Ellinghaus,34,4665,23,0.001,0.081,,,0.9765
Ken K Ong,31,5792,23,0.0,0.124,,,0.9829
Elio Riboli,29,3096,23,0.0,0.073,,,0.9595
Stephan Ripke,42,5184,23,0.005,0.105,,,0.9799
Soumya Raychaudhuri,30,7984,23,0.003,0.114,,,0.9899
Olli T Raitakari,54,3006,22,0.001,0.155,,,0.9583
Meena Kumari,27,5005,22,0.0,0.13,,,0.9789
John R Thompson,24,7038,22,0.0,0.086,,,0.9873
Melissa C Southey,35,3069,22,0.001,0.105,,,0.959
Winfried Marz,44,4106,22,0.001,0.129,,,0.9722
Jirong Long,36,2651,22,0.001,0.107,,,0.952
Zhibin Hu,41,1463,22,0.002,0.052,,,0.9039
Nigel W Rayner,24,8267,22,0.0,0.09,,,0.9907
Joanne M Murabito,35,2383,22,0.0,0.09,,,0.9458
Ruth McPherson,23,5142,22,0.0,0.079,,,0.9796
Bok-Ghee Han,38,2895,22,0.003,0.083,,,0.9564
Benjamin M Neale,25,2264,22,0.002,0.055,,,0.9415
Heli Nevanlinna,36,3347,22,0.0,0.087,,,0.9634
Xifeng Wu,36,2128,22,0.001,0.08,,,0.9372
John D Rioux,25,8753,22,0.002,0.097,,,0.9917
Paul D P Pharoah,33,3771,22,0.001,0.091,,,0.9689
Margaret A Pericak-Vance,33,4359,22,0.002,0.072,,,0.9748
Thomas W Muhleisen,27,4660,22,0.002,0.119,,,0.9764
Lina Zgaga,31,4426,22,0.0,0.091,,,0.9753
